,Date,User,Tweet
0,2023-02-19 23:26:52+00:00,senryuji_hino,"おはようございます

本日の #泉龍寺 は曇りです
最高気温4度・最低気温マイナス2度
現在3度です

ミッションクリア特典のポストカード以外のつむぎさんのグッズが、昨日完売したようです
#鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント"
1,2023-02-19 17:25:52+00:00,oimo_0222,"島根に住んでいる友達と
鳥取砂丘に行きました🤍
初鳥取観光は砂丘でした- ̗̀ ( ˶'ᵕ'˶) ̖́-"
2,2023-02-19 13:16:13+00:00,hiko39115,"【水木しげるロード】【境港夕凪の湯御宿野乃】【境港水産物直売センター】ゲゲゲに楽しい【鳥取境港】に行ってきました！

▶️紹介動画はこちら
https://t.co/coltrF5m3f

#境港  #鳥取観光 #彦の休日 #水木しげるロード #境港夕凪の湯御宿野乃 #ゲゲゲの鬼太郎 #境港観光 #妖怪工房 #妖怪饅頭 https://t.co/PKFiwOV1bB"
3,2023-02-19 01:54:44+00:00,recruit_oe,"大江ノ郷自然牧場が、プロが選ぶ「観光・食事・土産物施設100選」に選ばれました✨鳥取県で唯一の入選です😆
https://t.co/5PwVpOR3Oc

＃鳥取観光
＃鳥取旅行"
4,2023-02-18 22:38:56+00:00,senryuji_hino,"おはようございます

本日の #泉龍寺 は雨です
最高気温11度・最低気温3度
現在10度です

普段はコタツの中で、なかなかお目にかかれませんが、実は寺猫がおります
茶トラのロックです
#鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント #泉龍寺の寺猫ロック https://t.co/xrelykkPJ4"
5,2023-02-18 11:57:31+00:00,mamacreamsoda,"鳥取砂丘から、京都天橋立の2泊の旅！鳥取砂丘は、期待を裏切る良さで、なめててすみませんでした！って謝ってきました！！#鳥取砂丘 #砂の美術館 #きなんせ岩美　#道の駅　#いわみのおばちゃん家　#刺身　#鳥取観光 

【誕生日トリップ】鳥取砂丘、城崎温泉と天橋立　その1 https://t.co/5IYlaGyrLA"
6,2023-02-18 11:00:03+00:00,livingyell,"休日に行きたい♪雑貨屋さんまとめ【米子・境港エリア】

友達へのプレゼントや自分ごほうびを探しに…
休みの日にぶらっと出かけたい、雑貨屋さんをまとめました♪
https://t.co/RmpjYO5GHZ

#山陰雑貨屋   #鳥取観光　#雑貨屋 #米子雑貨屋 #境港雑貨屋  #雑貨 #鳥取雑貨 #鳥取県雑貨 #インテリア"
7,2023-02-17 21:13:45+00:00,senryuji_hino,"おはようございます

本日の #泉龍寺 は曇りです
最高気温11度・最低気温3度
現在4度です

ちょうどつむぎさん等身大サイズのこの竹の花器は、日曜大工が得意な住職のお手製です

#鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント https://t.co/J8qh0PaNKQ"
8,2023-02-17 06:07:40+00:00,z20soarerkai,昭和の観光地　昭和４９年１１月　鳥取観光　懐かしの8mmフィルム　（宇高国道フェリー、津山ドライブイン、鳥取砂丘、浜村温泉（浜村観光ホテル鈴木）... https://t.co/6wknLqerby @YouTubeより
9,2023-02-17 06:05:38+00:00,senryuji_hino,"【再掲】
コラボイベント期間中の3/3についてのお知らせです

先程3/3をイベント最終日と記載しておりました
大変失礼いたしました
訂正してお詫び申し上げます

 #泉龍寺 #鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント https://t.co/SpG1QikwDG"
10,2023-02-16 23:30:00+00:00,riiinooo310,"@sankanren 子どもも夫も電車が大好きで、いつか電車旅で旅行をのんびり楽しむことが夢です😊💕
やくもに乗って、鳥取観光をしながらカニ🦀料理を楽しんで夜は星空🌌✨なんて…、最高すぎますね🫶︎✨

ご縁がございましたら、心を込めてご紹介させてください😊🎶
ぜひ応募させて頂きます🍀"
11,2023-02-16 22:54:35+00:00,senryuji_hino,"おはようございます

本日の #泉龍寺 は曇りです
最高気温11度・最低気温－7度
現在－3度です

ひと足早く、つむぎさんのお部屋をひな祭りバージョンにしました
このひな人形は、住職のご友人のお手製です

#鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント https://t.co/chXbVuJElp"
12,2023-02-16 10:35:00+00:00,kosunao7,"行程がほぼ決定した❗
東京→京都(夜行バス)
京都→鳥取(スーパーはくと)
鳥取観光(砂の美術館、鳥取砂丘)
鳥取→出雲市(スーパーまつかぜ)
　　　出雲市宿泊
出雲市→出雲大社前
出雲大社前→松江しんじ湖温泉
(一畑電車)
松江→米子(やくも)
米子→境港→米子
米子→岡山(高速バス)
みたいな感じに❗"
13,2023-02-16 05:14:17+00:00,YUAKB,"@ndia_aera これも食べに行こう🤤
こりゃグルメツアーで鳥取観光終わっちゃうな...笑"
14,2023-02-15 23:28:17+00:00,senryuji_hino,"おはようございます

本日の #泉龍寺 は曇りです
最高気温4度・最低気温マイナス5度
現在マイナス1度です

念の為雨具を持ってお出かけください
車道に雪はありません

#鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント"
15,2023-02-15 21:40:13+00:00,CiaoNihon,"【#鳥取】米子ひとり旅〜#米子観光！城下町散策おすすめコース〜
 
https://t.co/miLgdGxBYz
 
#ひとり旅 #米子 #米子旅行 #米子観光 #鳥取 #鳥取旅行 #鳥取観光 https://t.co/r1LrAwcWxe"
16,2023-02-15 11:25:39+00:00,misasakan1,"三朝温泉の雛めぐりが
本日よりスタート🎎
三朝温泉ほっとプラ座にて
クイズラリーに挑戦してみてください😊
#三朝温泉 #日本遺産 #三朝館 #三徳山 #鳥取 #温泉旅館 #温泉旅行 #鳥取旅行 #鳥取観光 #旅 #鳥取グルメ #貸切風呂 #japan #露天風呂付客室 #カニ #ひな祭り #雛めぐり https://t.co/uhOYu2wCzc"
17,2023-02-15 01:29:10+00:00,a_saitoh,"何割のコンビニにすでにおむつが売られているか？
だれかデータ持ってない？
8年前は50％くらいだったような(鳥取)。観光施設近くのコンビニは配備率高かったかな"
18,2023-02-14 23:29:40+00:00,senryuji_hino,"おはようございます

本日の #泉龍寺 は雪です
最高気温1度・最低気温マイナス4度
現在マイナス2度です

今はパラパラと降っています

#鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント"
19,2023-02-13 23:16:53+00:00,senryuji_hino,"おはようございます

本日の #泉龍寺 は曇りです
最高気温2度・最低気温マイナス3度
現在1度です

明日からまた雪の予報です
防寒対策をしてお出かけください

#鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント"
20,2023-02-13 15:38:11+00:00,CiaoNihon,"【#鳥取】境港ひとり旅〜#境港観光！水木しげると妖怪の街〜
 
https://t.co/qopB02T26Y
 
#ゲゲゲの鬼太郎 #ひとり旅 #境港 #境港観光 #水木しげる #水木しげるロード #鳥取 #鳥取旅行 #鳥取観光 https://t.co/2M8p2GNz7m"
21,2023-02-13 11:20:15+00:00,shoco_latt,"@1FQAA6kiJpYp2yi 雪降ってない？
寒いだろうけど暖かくして、鳥取観光楽しんでねദി  ᷇ᵕ  ᷆  )♡"
22,2023-02-13 02:20:41+00:00,midoribashibase,"今日はせっかくなので家族ともう1泊して鳥取観光してます✨
望湖楼という旅館に泊まってゆっくりしました😊
娘のサービスショットも載せちゃいます🤣

明日からまたレッスン頑張ります😆 https://t.co/xb59Wiaa8X"
23,2023-02-13 01:12:41+00:00,iIbI6MUEtb1T4dX,"鳥取に観光したら絶対見たい景色！鳥取砂丘から眺める霊峰大山 https://t.co/o1UgI8baUp 

#鳥取砂丘　#大山　#鳥取観光 　#鳥取県移住　#鳥取空港　#コナン空港 https://t.co/IclCsjMe5R"
24,2023-02-13 01:02:56+00:00,senryuji_hino,"12月から #泉龍寺 に来てくださっているつむぎさん
実は住職がライトアップしてくれています
つむぎさんは本堂にいらっしゃいますので、新春の法要も節分の法要も皆勤賞です

#鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント https://t.co/kLzl7pyFWO"
25,2023-02-12 23:14:39+00:00,senryuji_hino,"おはようございます

本日の #泉龍寺 は雨です
最高気温6度・最低気温4度
現在1度です

本日はTwitter開始から初めてマイナスがない1日です！
現在は降っておりませんが、分厚い雲におおわれております

#鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント"
26,2023-02-12 12:03:00+00:00,1218ryota_spl,"@happyaura311 企画してくれてありがとうございました！
鳥取観光大使になってください"
27,2023-02-12 08:52:40+00:00,misasakan1,"六感治癒とは「観・聴・香・味・触・心」を表し、三朝温泉の優れた泉質の湯に浸かり、飲み、湯煙に身を置くことにより六感を癒す考え方です♨
https://t.co/rjngnoO24M
#三朝温泉 #日本遺産 #三朝館 #三徳山 #鳥取 #温泉旅館 #温泉旅行 #鳥取旅行 #鳥取観光 #旅 #鳥取グルメ #貸切風呂 #japan https://t.co/vG9jSha49r"
28,2023-02-12 00:03:22+00:00,senryuji_hino,"そして金持テラス様のグッズ状況から、本日は朝早くからいらっしゃるかなあと、6:00から本堂の準備をしていた住職。
つむぎさんグッズ在庫わずかです
 #泉龍寺 #鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント"
29,2023-02-12 00:00:34+00:00,senryuji_hino,"おはようございます

本日の #泉龍寺 は晴れです
最高気温13度・最低気温マイナス2度
現在0度です

久々に温度が2桁まで上がります
絶好の駅メモ日和です！

#鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント https://t.co/WfcbIrQMMn"
30,2023-02-11 10:04:44+00:00,misasakan1,"本日YouTubeにて公開されました📺
三朝温泉の見所も映っていますので是非お楽しみに〜

【初🎉鳥取県✨】MV公開お疲れ様スイートルームに泊まる贅沢旅✈️🦀♨️ https://t.co/nNaIp5Pvl8 
@YouTube
より 

#三朝温泉　#鳥取　#観光　#旅行　#三朝館　#礒部希帆　#重盛さと美"
31,2023-02-11 08:44:18+00:00,wasabinoridc,"時間余って本屋で鳥取観光の本見るかあと思ったら島根と鳥取だけ綺麗に無くて泣いちゃった
売れたのかはたまた...."
32,2023-02-11 05:10:48+00:00,uouo_fish_,鳥取観光大使まってます https://t.co/dxykPiRLK3
33,2023-02-11 04:02:37+00:00,H_Sogetsu,"顔面加工しても虚無だった。イケメンになりたいぞー！可愛いが作れるならかっこいいだって作りたい！！！あと首がない短い！
雰囲気はめっちゃいいのにな…ロケーションめっちゃいいのにな…
※撮影地許可済み
#鳥取 #鳥取観光 #若桜町 #若桜神社 #大正ロマン #着物コーデ #書生スタイル https://t.co/nkZhBrzq1e"
34,2023-02-10 22:18:50+00:00,senryuji_hino,"おはようございます

本日の #泉龍寺 は曇りです
最高気温9度・最低気温マイナス1度
現在0度です

昨日の荒れ模様も本日は落ち着いています

#鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント"
35,2023-02-10 15:47:47+00:00,Az_murimi,"@reiou0106 お仕事いっぱいの週末だと思いますが、無理せずイベント楽しんできて下さい～！
鳥取、観光の時間あんまりないかもですが、鳥取トークもどこかでぜひ聞かせてください！"
36,2023-02-10 13:04:58+00:00,mari_gawgaw,"@meshouga_08 めしょうがさん、ありがとうございます💕
人生初の鳥取！観光も温泉もご飯も
もちろんライブも思いっきり楽しみたいと思います🥰🥰"
37,2023-02-10 10:21:40+00:00,jPMk27dxKDy0DU8,"創った落語の出たし
一応落ちまで創ったけど、ちょこっと落ちは思索中
#素人落語
#創作
#創作落語
#落語
#上方落語
#鳥取県
#因幡
#白兎
#兎年
#昔話
#古事記
#米子
#白兎年
#鳥取観光
#砂丘 https://t.co/0wnVJLyNH8"
38,2023-02-10 02:38:00+00:00,senryuji_hino,"本当は中に入れてあげたかったけど溶けてしまったので、
かまくら跡とつむぎさん

 #泉龍寺 #鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント #かまくら https://t.co/klyZHSQSwW"
39,2023-02-10 01:42:28+00:00,JMHKDJ8955,おっ！ついに東京に大雪警報が！！（ワイ東京都民。鳥取観光中）
40,2023-02-09 22:29:33+00:00,senryuji_hino,"おはようございます

本日の #泉龍寺 は雪です
最高気温6度・最低気温マイナス1度
現在0度です

現在は牡丹雪が降っています

#鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント https://t.co/jnIcAsHjL7"
41,2023-02-09 10:24:16+00:00,eddyier,いいなぁみんな明日ONAKAMAなの。うちは学科終わらせたで仲良い先生が実技1.2限に調整してくれたで鳥取観光です。砂丘しか知らんけど🎶なんかオススメあったら教えて、鳥取駅から行けるとこなら🙆‍♀️
42,2023-02-09 09:55:29+00:00,awesome_yoshibo,"島根と鳥取
観光地あんまり無いとか嘆いてたけど、実際行ってみると、めちゃくちゃ楽しかったです😆"
