,Unnamed: 0,Date,User,Tweet,English
0,0,2023-02-19 23:26:52+00:00,senryuji_hino,"おはようございます

本日の #泉龍寺 は曇りです
最高気温4度・最低気温マイナス2度
現在3度です

ミッションクリア特典のポストカード以外のつむぎさんのグッズが、昨日完売したようです
#鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント","good morning

#Senryu-ji Temple is cloudy today
Maximum temperature 4°C, minimum temperature -2°C
3 times now

It seems that Tsumugi's goods other than the mission clear postcard were sold out yesterday.
#Tottori sightseeing #Hino-cho, Hino-gun #Temple #Shrines and temples #Temple tour #Station memo #Station memo trip #Tsumugi event"
1,1,2023-02-19 17:25:52+00:00,oimo_0222,"島根に住んでいる友達と
鳥取砂丘に行きました🤍
初鳥取観光は砂丘でした- ̗̀ ( ˶'ᵕ'˶) ̖́-","With friends who live in Shimane
I went to Tottori Sand Dunes🤍
The first Tottori sightseeing was the sand dunes- ̗̀ ( ˶'ᵕ'˶) ̖́-"
2,2,2023-02-19 13:16:13+00:00,hiko39115,"【水木しげるロード】【境港夕凪の湯御宿野乃】【境港水産物直売センター】ゲゲゲに楽しい【鳥取境港】に行ってきました！

▶️紹介動画はこちら
https://t.co/coltrF5m3f

#境港  #鳥取観光 #彦の休日 #水木しげるロード #境港夕凪の湯御宿野乃 #ゲゲゲの鬼太郎 #境港観光 #妖怪工房 #妖怪饅頭 https://t.co/PKFiwOV1bB","[Mizuki Shigeru Road] [Sakaiminato Yunagi-no-Yu Oyado Nono] [Sakaiminato Seafood Direct Sales Center] I went to [Tottori Sakaiminato] which was fun!

▶️Introduction video here
https://t.co/coltrF5m3f

#Sakaiminato #Tottori sightseeing #Hiko's holiday #Mizuki Shigeru Road #Sakaiminato Yunagi no Yu Oyado Nono #GeGeGe no Kitaro #Sakaiminato sightseeing #Yokai workshop #Yokai bun https://t.co/PKFiwOV1bB"
3,3,2023-02-19 01:54:44+00:00,recruit_oe,"大江ノ郷自然牧場が、プロが選ぶ「観光・食事・土産物施設100選」に選ばれました✨鳥取県で唯一の入選です😆
https://t.co/5PwVpOR3Oc

＃鳥取観光
＃鳥取旅行","Oenosato Natural Ranch was selected as one of the ""Top 100 Tourist, Dining, and Souvenir Facilities"" selected by professionals✨It is the only selection in Tottori Prefecture😆
https://t.co/5PwVpOR3Oc

＃Tottori sightseeing
＃Tottori trip"
4,4,2023-02-18 22:38:56+00:00,senryuji_hino,"おはようございます

本日の #泉龍寺 は雨です
最高気温11度・最低気温3度
現在10度です

普段はコタツの中で、なかなかお目にかかれませんが、実は寺猫がおります
茶トラのロックです
#鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント #泉龍寺の寺猫ロック https://t.co/xrelykkPJ4","good morning

It's raining at #senryu-ji today
Maximum temperature 11 degrees, minimum temperature 3 degrees
10 degrees now

In fact, there is a Teraneko (tera-neko), which is rarely seen under the kotatsu.
It's tea tiger rock
#Tottori sightseeing #Hino-cho, Hino-gun #Temple #Shrines and temples #Temple tour #Station memo #Station memo trip #Tsumugi event #Senryu-ji temple cat rock https://t.co/xrelykkPJ4"
5,5,2023-02-18 11:57:31+00:00,mamacreamsoda,"鳥取砂丘から、京都天橋立の2泊の旅！鳥取砂丘は、期待を裏切る良さで、なめててすみませんでした！って謝ってきました！！#鳥取砂丘 #砂の美術館 #きなんせ岩美　#道の駅　#いわみのおばちゃん家　#刺身　#鳥取観光 

【誕生日トリップ】鳥取砂丘、城崎温泉と天橋立　その1 https://t.co/5IYlaGyrLA","A two-night trip from Tottori Sand Dunes to Amanohashidate, Kyoto! The Tottori Sand Dunes were a disappointment, and I'm sorry I licked them! I apologized! ! #Tottori Sand Dunes #Sand Museum #Kinanse Iwami #Road Station #Iwami Auntie #Sashimi #Tottori Tourism

[Birthday Trip] Tottori Sand Dunes, Kinosaki Onsen and Amanohashidate Part 1 https://t.co/5IYlaGyrLA"
6,6,2023-02-18 11:00:03+00:00,livingyell,"休日に行きたい♪雑貨屋さんまとめ【米子・境港エリア】

友達へのプレゼントや自分ごほうびを探しに…
休みの日にぶらっと出かけたい、雑貨屋さんをまとめました♪
https://t.co/RmpjYO5GHZ

#山陰雑貨屋   #鳥取観光　#雑貨屋 #米子雑貨屋 #境港雑貨屋  #雑貨 #鳥取雑貨 #鳥取県雑貨 #インテリア","I want to go on a holiday ♪ Summary of general stores [Yonago / Sakaiminato area]

Looking for gifts for friends and rewards for yourself...
We've compiled a list of general stores that you'll want to hang out on your day off♪
https://t.co/RmpjYO5GHZ

#Sanin Grocery Store #Tottori Tourism #Grocery Store #Yonago Grocery Store #Sakaiminato Grocery Store #Miscellaneous Goods #Tottori Goods #Tottori Prefecture Goods #Interior"
7,7,2023-02-17 21:13:45+00:00,senryuji_hino,"おはようございます

本日の #泉龍寺 は曇りです
最高気温11度・最低気温3度
現在4度です

ちょうどつむぎさん等身大サイズのこの竹の花器は、日曜大工が得意な住職のお手製です

#鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント https://t.co/J8qh0PaNKQ","good morning

#Senryu-ji Temple is cloudy today
Maximum temperature 11 degrees, minimum temperature 3 degrees
4 degrees now

This bamboo vase, just the size of Mr. Tsumugi's life, was handmade by the chief priest who is good at DIY work.

#Tottori sightseeing #Hino-cho, Hino-gun #Temple #Shrines and temples #Temple tour #Station memo #Station memo trip #Tsumugi event https://t.co/J8qh0PaNKQ"
8,8,2023-02-17 06:07:40+00:00,z20soarerkai,昭和の観光地　昭和４９年１１月　鳥取観光　懐かしの8mmフィルム　（宇高国道フェリー、津山ドライブイン、鳥取砂丘、浜村温泉（浜村観光ホテル鈴木）... https://t.co/6wknLqerby @YouTubeより,"Showa Sightseeing Spots November 1974 Tottori Sightseeing Nostalgic 8mm Film (Uko Kokudo Ferry, Tsuyama Drive-in, Tottori Sand Dunes, Hamamura Onsen (Hamamura Kanko Hotel Suzuki)... https://t.co/6wknLqerby @YouTube"
9,9,2023-02-17 06:05:38+00:00,senryuji_hino,"【再掲】
コラボイベント期間中の3/3についてのお知らせです

先程3/3をイベント最終日と記載しておりました
大変失礼いたしました
訂正してお詫び申し上げます

 #泉龍寺 #鳥取観光 #日野郡日野町 #お寺 #神社仏閣 #お寺巡り #駅メモ #駅メモ旅 #つむぎイベント https://t.co/SpG1QikwDG","[Repost]
This is a notice about 3/3 during the collaboration event period

Earlier, 3/3 was listed as the last day of the event.
I must sincerely apologize
Correction and apologize to

 #Senryu-ji Temple #Sightseeing in Tottori #Hino Town Hino-gun #Temple #Shrines and Temples #Temple Tour #Station Memo #Station Memo Trip #Tsumugi Event https://t.co/SpG1QikwDG"
